
=======================================================
  REPORTE DE CALIDAD — 2026-05-20 23:59:51
[CALIF] Resenas_Usuarios id=140 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=141 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=143 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=149 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=153 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=154 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=156 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=160 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=161 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=162 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=163 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=166 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=169 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=172 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=173 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=175 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=176 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=179 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=180 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=181 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=499 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=186 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=188 calificacion invalida: '10/5'
  ... y 1390 errores más.

=======================================================
  FASE D: MIGRACIÓN MONGODB — 2026-05-21 01:36:11
=======================================================
  autores         | OK       | 36 docs
  categorias      | OK       | 48 docs
  editoriales     | OK       | 12 docs
  libros          | OK       | 76 docs
  prestamos       | OK       | 1000 docs
  TOTAL insertados en MongoDB: 1172
